ID	IslandID	PartID	ZoneID	Zone	Number	IndexName_1	Featured	SpokenName_1	PhoneticName_1	Speaker_1	SpeakerID_1	Start_1	End_1	IndexName_2	SpokenName_2	PhoneticName_2	Speaker_2	SpeakerID_2	Start_2	End_2	IndexName_3	SpokenName_3	PhoneticName_3	Speaker_3	SpeakerID_3	Start_3	End_3	CommonName_1	UnspokenName_1	ExtendedName_1	ExtendedName_2	VariantName_1	MisspelledName_1	Note_Speech	Note_Spelling	Note_Name	Note_Place	Group_1	GroupID_1	Group_2	GroupID_2	Transliteration	Addenda_Zone	SeeType	SeeText	SeeZone_1	SeeZoneID_1	SeeName_1	SeeNameID_1	SeeID_1	SeeZone_2	SeeZoneID_2	SeeName_2	SeeNameID_2	SeeID_2	SeeZone_3	SeeZoneID_3	SeeName_3	SeeNameID_3	SeeID_3	SeeZone_4	SeeZoneID_4	SeeName_4	SeeNameID_4	SeeID_4	KindPrefix_1	Kind_1	KindID_1	KindPlural_1	KindName_1	Super_1	Super_1.a	Super_1.1	KindPrefix_2	Kind_2	KindID_2	KindPlural_2	KindName_2	Super_2	Super_2.a	Kind_3	KindID_3	KindPlural_3	KindName_3	Super_3	Super_3.a	Kind_4	KindID_4	KindPlural_4	KindName_4	Super_4	Super_4.a	Kind_5	KindID_5	KindPlural_5	KindName_5	Kind_6	KindID_6	KindPlural_6	KindName_6	Kind_7	KindID_7	KindPlural_7	KindName_7
pn_zo_1-11			zo_1	Wellington	11	Kaiwharawhara	1	Kaiwharawhara		Kara Puketapu	sp_51	30.57	31.87																																																						suburb	fe_270		Kaiwharawhara																																		
pn_zo_1-12			zo_1	Wellington	12	Karaka		Karaka		Kara Puketapu	sp_51	33.62	34.38																																																						bay	fe_15		Karaka Bay																																		
pn_zo_1-13			zo_1	Wellington	13	Kau		Kau		Kara Puketapu	sp_51	35.70	36.49	Kau-whakaara-waru															Kau-whakaara-waru	Kau-whakaara-waru																																					bay	fe_15		Kau Bay					point	fe_203		Kau Point																										
pn_zo_1-14			zo_1	Wellington	14	Kaukau		Kaukau		Kara Puketapu	sp_51	37.85	38.81																																																						mountain	fe_177		Mount Kaukau																																		
pn_zo_1-15			zo_1	Wellington	15	Kimiora								Kimi-ora	Kimi-ora		Kara Puketapu	sp_51	40.63	41.56																																															school	fe_243		Kimiora School																																		
pn_zo_1-16			zo_1	Wellington	16	Kio		Kio		Kara Puketapu	sp_51	43.31	44.12																																																						bay	fe_15		Kio Bay																																		
pn_zo_1-17			zo_1	Wellington	17	Kotahitanga		Kotahitanga		Kara Puketapu	sp_51	46.04	47.32																																																						hall	fe_114		Kotahitanga Hall																																		
pn_zo_1-18			zo_1	Wellington	18	Māhanga		Māhanga		Kara Puketapu	sp_51	48.57	49.64																																																						bay	fe_15		Māhanga Bay																																		
pn_zo_1-19			zo_1	Wellington	19	Mākara		Mākara		Kara Puketapu	sp_51	51.09	52.29																																																						stream	fe_268		Mākara Stream					locality	fe_154		Mākara																										
pn_zo_1-20			zo_1	Wellington	20	Mākaro		Mākaro		Kara Puketapu	sp_51	53.85	54.96															Ward Island																																							island	fe_134		Ward Island																																		
pn_zo_1-21			zo_1	Wellington	21	Mātiu		Mātiu		Kara Puketapu	sp_51	57.03	58.27															Somes Island																																							island	fe_134		Somes Island																																		
pn_zo_1-22			zo_1	Wellington	22	Māupuia		Māupuia		Kara Puketapu	sp_51	59.71	61.20																																																						suburb	fe_270		Māupuia																																		
pn_zo_1-23			zo_1	Wellington	23	Mairangi		Mairangi		Kara Puketapu	sp_51	62.39	63.61																																																						suburb	fe_270		Mairangi																																		
pn_zo_1-24			zo_1	Wellington	24	Moa		Moa		Kara Puketapu	sp_51	65.03	65.77																																																						point	fe_203		Moa Point																																		
pn_zo_1-25			zo_1	Wellington	25	Moerā								Moe-rā	Moe-rā		Kara Puketapu	sp_51	67.52	68.60												Moe-rā																																			locality	fe_154		Moerā																																		
pn_zo_1-26			zo_1	Wellington	26	Mokopuna		Mokopuna		Kara Puketapu	sp_51	70.33	71.53																																																						island	fe_134		Mokopuna Island																																		
pn_zo_1-27			zo_1	Wellington	27	Ngāti Aorere		Ngāti Aorere		Kara Puketapu	sp_51	73.11	74.79																																																						meeting room	fe_164		Ngāti Aorere																																		
pn_zo_1-28			zo_1	Wellington	28	Ngāūranga	1	Ngāūranga		Kara Puketapu	sp_51	76.52	78.18	Ngāūranga-waka															Ngāūranga-waka	Ngāūranga-waka																																					gorge	fe_110		Ngāūranga Gorge																																		
pn_zo_1-29			zo_1	Wellington	29	Ngaio		Ngaio		Kara Puketapu	sp_51	79.55	80.63																																																						gorge	fe_110		Ngaio Gorge					suburb	fe_270		Ngaio																										
pn_zo_1-30			zo_1	Wellington	30	Ōhau		Ōhau		Kara Puketapu	sp_51	82.65	83.64																																																						bay	fe_15		Ōhau Bay					point	fe_203		Ōhau Point																										
pn_zo_1-31			zo_1	Wellington	31	Ōpau		Ōpau		Kara Puketapu	sp_51	85.01	86.20																																																						bay	fe_15		Ōpau Bay																																		
pn_zo_1-32			zo_1	Wellington	32	Ōrangi-Kaupapa		Ōrangi-Kaupapa		Kara Puketapu	sp_51	87.63	89.56																																																						suburb	fe_270		Ōrangi-Kaupapa																																		
pn_zo_1-33			zo_1	Wellington	33	Ōtari		Ōtari		Kara Puketapu	sp_51	91.29	92.27																																																						museum	fe_180		Ōtari Plant Museum																																		
pn_zo_1-34			zo_1	Wellington	34	Ōteranga		Ōteranga		Kara Puketapu	sp_51	93.94	95.26																																																						head	fe_119		Ōteranga																																		
pn_zo_1-35			zo_1	Wellington	35	Ōwhiro		Ōwhiro		Kara Puketapu	sp_51	96.88	98.06	Ohiro															Ohiro				Ohiro																																		bay	fe_15		Ōwhiro Bay																																		
pn_zo_1-36			zo_1	Wellington	36	Papārangi		Papārangi		Kara Puketapu	sp_51	99.99	101.05	Paparārangi															Paparārangi	Paparārangi																																					suburb	fe_270		Papārangi																																		
pn_zo_1-37			zo_1	Wellington	37	Pīpītea		Pīpītea		Kara Puketapu	sp_51	102.71	104.09																																																						marae	fe_156		Pīpītea Marae																																		
pn_zo_1-38			zo_1	Wellington	38	Piki te Ora		Piki te Ora		Kara Puketapu	sp_51	105.70	107.26																																																						hospital	fe_125		Piki te ora Health Centre																																		
pn_zo_1-39			zo_1	Wellington	39	Pōneke		Pōneke		Kara Puketapu	sp_51	108.87	110.05																																																						region	fe_224		Pōneke																																		
pn_zo_1-40			zo_1	Wellington	40	Rāroa		Rāroa		Kara Puketapu	sp_51	111.90	113.05																																																						suburb	fe_270		Rāroa																																		
pn_zo_1-41			zo_1	Wellington	41	Rewarewa		Rewarewa		Kara Puketapu	sp_51	114.17	115.27																																																						school	fe_243		Rewarewa School																																		
pn_zo_1-42			zo_1	Wellington	42	Rongotai		Rongotai		Kara Puketapu	sp_51	116.90	118.10																																																						suburb	fe_270		Rongotai					airport	fe_3		Wellington International Airport																										
pn_zo_1-43			zo_1	Wellington	43	Tānera		Tānera		Kara Puketapu	sp_51	119.77	120.87																																																						park	fe_195		Tānera Park																																		
pn_zo_1-44			zo_1	Wellington	44	Tapu te Ranga		Tapu te Ranga		Kara Puketapu	sp_51	122.50	123.80																																																						island	fe_134		Taputeranga Island					marae	fe_156		Tapu te Ranga Marae	2																									
pn_zo_1-45			zo_1	Wellington	45	Tarakena		Tarakena		Kara Puketapu	sp_51	125.53	126.56	Taraki															Taraki				Taraki																																		bay	fe_15		Tarakena Bay																																		
pn_zo_1-46			zo_1	Wellington	46	Te Aro		Te Aro		Kara Puketapu	sp_51	128.45	129.35																																																						suburb	fe_270		Te Aro																																		
pn_zo_1-47			zo_1	Wellington	47	Te Hau-ki-Tūranga		Te Hau-ki-Tūranga		Kara Puketapu	sp_51	130.87	132.85																								in the National Museum (Te Papa)																														meeting house	fe_163		Te Hau-ki-Tūranga meeting house																																		
pn_zo_1-48			zo_1	Wellington	48	Te Herenga Waka		Te Herenga Waka		Kara Puketapu	sp_51	134.73	136.17																																																						marae	fe_156		Te Herenga Waka Marae																																		
pn_zo_1-49			zo_1	Wellington	49	Te Hōpai		Te Hōpai		Kara Puketapu	sp_51	138.03	139.26																																																						home	fe_123		Te Hōpai																																		
pn_zo_1-50			zo_1	Wellington	50	Te Ika-ā-Maru		Te Ika-ā-Maru		Kara Puketapu	sp_51	141.06	142.59																																																						bay	fe_15		Te Ika-ā-Maru Bay																																		
pn_zo_1-51			zo_1	Wellington	51	Te Kāinga		Te Kāinga		Kara Puketapu	sp_51	144.22	145.35																																																						suburb	fe_270		Te Kāinga					catholic centre	fe_41		Te Kāinga Catholic Centre																										
pn_zo_1-52			zo_1	Wellington	52	Te Raekaihau		Te Raekaihau		Kara Puketapu	sp_51	147.07	148.48																																																						point	fe_203		Te Raekaihau Point																																		
pn_zo_1-53			zo_1	Wellington	53	Te Upoko o te Ika		Te Upoko o te Ika		Kara Puketapu	sp_51	150.10	152.15																																																						meeting house	fe_163		Te Upoko o te Ika meeting house																																		
pn_zo_1-54			zo_1	Wellington	54	Te Whanganui-ā-Tara		Te Whanganui-ā-Tara		Kara Puketapu	sp_51	153.84	155.71																																																						harbour	fe_115		Te Whanganui-ā-Tara																																		
pn_zo_1-55			zo_1	Wellington	55	Terāwhiti		Terāwhiti		Kara Puketapu	sp_51	157.29	158.47																																																						cape	fe_39		Cape Terāwhiti																																		
pn_zo_1-56			zo_1	Wellington	56	Tinakori		Tinakori		Kara Puketapu	sp_51	160.08	161.12																																																						hill	fe_122		Te Ahumairangi Hill																																		
pn_zo_1-57			zo_1	Wellington	57	Weka		Weka		Kara Puketapu	sp_51	163.34	164.02																																																						bay	fe_15		Weka Bay																																		
pn_zo_1-58			zo_1	Wellington	58	Whaiora		Whaiora		Kara Puketapu	sp_51	165.77	166.85																																																						meeting house	fe_163		Whaiora meeting house	2																																	
pn_zo_2-0			zo_2	Lower Hutt Valley	0	Intro		Zone 2: Lower Hutt Valley		Hugh Young	sp_37	1.60	3.59															Zone 2: Lower Hutt Valley																																																																												
pn_zo_2-1			zo_2	Lower Hutt Valley	1	Arakura		Arakura		Kara Puketapu	sp_51	5.77	6.83																																																						school	fe_243		Arakura School																																		
pn_zo_2-2			zo_2	Lower Hutt Valley	2	Arohanui Ki Te Tangata		Arohanui Ki Te Tangata		Kara Puketapu	sp_51	8.51	10.55																																																						meeting house	fe_163		Arohanui Ki te Tangata meeting house	2																																	
pn_zo_2-3			zo_2	Lower Hutt Valley	3	Ēpuni		Ēpuni		Kara Puketapu	sp_51	12.29	13.32																																																						suburb	fe_270		Ēpuni																																		
pn_zo_2-4			zo_2	Lower Hutt Valley	4	Horokiwi		Horokiwi		Kara Puketapu	sp_51	14.85	15.88																																																						locality	fe_154		Horokiwi																																		
pn_zo_2-5			zo_2	Lower Hutt Valley	5	Huia		Huia		Kara Puketapu	sp_51	17.78	18.70																																																						swimming pool	fe_273		Huia Swimming Pool																																		
pn_zo_2-6			zo_2	Lower Hutt Valley	6	Kaimahi		Kaimahi		Kara Puketapu	sp_51	20.70	21.61																																																						school	fe_243		Kaimahi School																																		
pn_zo_2-7			zo_2	Lower Hutt Valley	7	Kōkiri		Kōkiri		Kara Puketapu	sp_51	23.03	23.96																																																						marae	fe_156		Kōkiri Marae																																		
pn_zo_2-8			zo_2	Lower Hutt Valley	8	Kōrau		Kōrau		Kara Puketapu	sp_51	25.29	26.21																																																						park	fe_195		Kōrau Park																																		
pn_zo_2-9			zo_2	Lower Hutt Valley	9	Korokoro		Korokoro		Kara Puketapu	sp_51	27.45	28.54																																																						suburb	fe_270		Korokoro																																		
pn_zo_2-10			zo_2	Lower Hutt Valley	10	Māhina		Māhina		Kara Puketapu	sp_51	30.30	31.27																																																						bay	fe_15		Māhina Bay																																		
pn_zo_2-11			zo_2	Lower Hutt Valley	11	Mangungu		Mangungu		Kara Puketapu	sp_51	32.54	33.70																																																						marae	fe_156		Mangungu Marae																																		
pn_zo_2-12			zo_2	Lower Hutt Valley	12	Maungaraki		Maungaraki		Kara Puketapu	sp_51	34.93	36.17	Mangaraki																			Mangaraki																																		suburb	fe_270		Maungaraki																																		
pn_zo_2-13			zo_2	Lower Hutt Valley	13	Moerā		Moerā		Kara Puketapu	sp_51	37.25	38.17																																																						suburb	fe_270		Moerā																																		
pn_zo_2-14			zo_2	Lower Hutt Valley	14	Muritai		Muritai		Kara Puketapu	sp_51	39.72	40.76																																																						school	fe_243		Muritai School																																		
pn_zo_2-15			zo_2	Lower Hutt Valley	15	Naenae		Naenae		Kara Puketapu	sp_51	41.97	43.24																																																						suburb	fe_270		Naenae																																		
pn_zo_2-16			zo_2	Lower Hutt Valley	16	Nukutewhatewha		Nukutewhatewha		Kara Puketapu	sp_51	44.49	46.16																								in the Dowse Gallery																														storehouse	fe_266		Nukutewhatewha Storehouse																																		
pn_zo_2-17			zo_2	Lower Hutt Valley	17	Ōrongorongo		Ōrongorongo		Kara Puketapu	sp_51	47.67	48.95																																																						range	fe_218		Ōrongorongo Range																																		
pn_zo_2-18			zo_2	Lower Hutt Valley	18	Ōwhiti		Ōwhiti		Kara Puketapu	sp_51	50.07	51.17																																																						marae	fe_156		Ōwhiti Marae					cemetery	fe_43		Ōwhiti Cemetery																										
pn_zo_2-19			zo_2	Lower Hutt Valley	19	Pētōne		Pētōne		Kara Puketapu	sp_51	52.30	53.54	Pito-one															Pito-one			Pito-one																																			borough	fe_24		Pētōne																																		
pn_zo_2-20			zo_2	Lower Hutt Valley	20	Pōmare		Pōmare		Kara Puketapu	sp_51	54.85	55.84																																																						suburb	fe_270		Pōmare																																		
pn_zo_2-21			zo_2	Lower Hutt Valley	21	Puketiro		Puketiro		Kara Puketapu	sp_51	57.26	58.32																																																						school	fe_243		Puketiro School																																		
pn_zo_2-22			zo_2	Lower Hutt Valley	22	Rātā		Rātā		Kara Puketapu	sp_51	59.53	60.68																																																						school	fe_243		Rātā Street School																																		
pn_zo_2-23			zo_2	Lower Hutt Valley	23	Rona		Rona		Kara Puketapu	sp_51	62.18	62.84																																																						bay	fe_15		Rona Bay																																		
pn_zo_2-24			zo_2	Lower Hutt Valley	24	Tāpiri		Tāpiri		Kara Puketapu	sp_51	63.90	64.74																																																						marae	fe_156		Tāpiri Marae	1																																	
pn_zo_2-25			zo_2	Lower Hutt Valley	25	Tāwhai		Tāwhai		Kara Puketapu	sp_51	65.64	66.57																																																						school	fe_243		Tāwhai School																																		
pn_zo_2-26			zo_2	Lower Hutt Valley	26	Taitā		Taitā		Kara Puketapu	sp_51	67.52	68.43																																																						suburb	fe_270		Taitā																																		
pn_zo_2-27			zo_2	Lower Hutt Valley	27	Te Kī Kōpu		Te Kī Kōpu		Kara Puketapu	sp_51	69.58	71.03																																																						dining hall	fe_76		Te Kī Kōpu	1																																	
pn_zo_2-28			zo_2	Lower Hutt Valley	28	Te Manawa-o-te-Kāhui		Te Manawa-o-te-Kāhui		Kara Puketapu	sp_51	72.66	74.64																																																						meeting house	fe_163		Te Manawa-o-te-Kāhui meeting house	1																																	
pn_zo_2-29			zo_2	Lower Hutt Valley	29	Te Omanga		Te Omanga		Kara Puketapu	sp_51	76.56	77.61																																																						hospice	fe_124		Te Omanga Hospice																																		
pn_zo_2-30			zo_2	Lower Hutt Valley	30	Te Puna-o-te-ora		Te Puna-o-te-ora		Kara Puketapu	sp_51	79.11	80.88																					There is a discrepancy in the audio for this name																																	dining hall	fe_76		Te Puna-o-te-ora	3																																	
pn_zo_2-31			zo_2	Lower Hutt Valley	31	Te Tatau-o-te-Pō		Te Tatau-o-te-Pō		Kara Puketapu	sp_51	82.02	83.67																																																						meeting house	fe_163		Te Tatau-o-te-Pō meeting house																																		
pn_zo_2-32			zo_2	Lower Hutt Valley	32	Te Whiti		Te Whiti		Kara Puketapu	sp_51	84.85	85.74																																																						park	fe_195		Te Whiti Park																																		
pn_zo_2-33			zo_2	Lower Hutt Valley	33	Turakirae		Turakirae		Kara Puketapu	sp_51	86.91	88.08																																																						head	fe_119		Turakirae Head																																		
pn_zo_2-34			zo_2	Lower Hutt Valley	34	Tūī		Tūī		Kara Puketapu	sp_51	89.61	90.48																																																						school	fe_243		Tūī Glen School																																		
pn_zo_2-35			zo_2	Lower Hutt Valley	35	Wā-ora		Wā-ora		Kara Puketapu	sp_51	92.00	93.29																																																						school	fe_243		Wā-ora School																																		
pn_zo_2-36			zo_2	Lower Hutt Valley	36	Wainuiōmata		Wainuiōmata		Kara Puketapu	sp_51	94.90	96.39																																																						town	fe_282		Wainuiōmata					river	fe_231		Wainuiōmata River			marae	fe_156		Wainuiōmata Marae	3																			
pn_zo_2-37			zo_2	Lower Hutt Valley	37	Waiwhetū		Waiwhetū		Kara Puketapu	sp_51	97.67	98.79																																																						stream	fe_268		Waiwhetū Stream					marae	fe_156		Waiwhetū Marae	2		suburb	fe_270		Waiwhetū																				
pn_zo_2-38			zo_2	Lower Hutt Valley	38	Wharehoa		Wharehoa		Kara Puketapu	sp_51	100.25	101.37																																																						centre	fe_44		Wharehoa Centre																																		
pn_zo_3-0			zo_3	Upper Hutt Valley	0	Intro		Zone 3: Upper Hutt Valley		Hugh Young	sp_37	1.55	3.50															Zone 3: Upper Hutt Valley																																																																												
pn_zo_3-1			zo_3	Upper Hutt Valley	1	Akatārewa		Akatārewa		Kara Puketapu	sp_51	5.34	6.72	Akatārawa	Akatārawa		Kara Puketapu	sp_51	7.55	8.96													Akatārawa																																		river	fe_231		Akatārewa River					range	fe_218		Akatārewa Range																										
pn_zo_3-2			zo_3	Upper Hutt Valley	2	Awa-kairangi		Awa-kairangi		Kara Puketapu	sp_51	10.17	11.49																																																						river	fe_231		Hutt River					park	fe_195		Awa-Kairangi Park																										
pn_zo_3-3			zo_3	Upper Hutt Valley	3	Heretaunga		Heretaunga		Kara Puketapu	sp_51	12.51	13.90	Harataunga	Harataunga		Kara Puketapu	sp_51	14.68	16.03												Harataunga																																			river	fe_231		Hutt River					suburb	fe_270		Heretaunga																										
pn_zo_3-4			zo_3	Upper Hutt Valley	4	Kaitoke		Kaitoke		Kara Puketapu	sp_51	17.00	17.95																																																						locality	fe_154		Kaitoke																																		
pn_zo_3-5			zo_3	Upper Hutt Valley	5	Mā-wai-hākona		Mā-wai-hākona		Kara Puketapu	sp_51	19.70	21.47	Mā-wai-hakona														Trentham	Mā-wai-hakona			Mā-wai-hakona			Variant differs only in the macron																																locality	fe_154		Trentham																																		
pn_zo_3-6			zo_3	Upper Hutt Valley	6	Māoribank								Māori	Māori		Kara Puketapu	sp_51	23.36	24.31										Māoribank																																					suburb	fe_270		Māoribank																																		
pn_zo_3-7			zo_3	Upper Hutt Valley	7	Mangaroa		Mangaroa		Kara Puketapu	sp_51	26.03	27.61																																																						suburb	fe_270		Mangaroa																																		
pn_zo_3-8			zo_3	Upper Hutt Valley	8	Ngāti Tama		Ngāti Tama		Kara Puketapu	sp_51	28.73	29.90																																																						park	fe_195		Ngāti Tama Park																																		
pn_zo_3-9			zo_3	Upper Hutt Valley	9	Ōrongomai		Ōrongomai		Kara Puketapu	sp_51	31.28	32.49																																																						marae	fe_156		Ōrongomai Marae					meeting house	fe_163		Ōrongomai meeting house																										
pn_zo_3-10			zo_3	Upper Hutt Valley	10	Pākurātahi		Pākurātahi		Kara Puketapu	sp_51	34.42	35.89																																																						stream	fe_268		Pākurātahi Stream																																		
pn_zo_3-11			zo_3	Upper Hutt Valley	11	Rimutaka		Rimutaka		Kara Puketapu	sp_51	36.85	37.85																																																						range	fe_218		Rimutaka Range					tunnel	fe_293		Rimutaka Tunnel																										
pn_zo_3-12			zo_3	Upper Hutt Valley	12	Te Hau Karetū		Te Hau Karetū		Kara Puketapu	sp_51	39.44	40.90																																																						park	fe_195		Te Hau Karetū Park																																		
pn_zo_3-13			zo_3	Upper Hutt Valley	13	Te Mārua		Te Mārua		Kara Puketapu	sp_51	42.08	43.22																																																						reservoirs	fe_228	1	Te Mārua Reservoirs					settlement	fe_245		Te Mārua Settlement																										
pn_zo_3-14			zo_3	Upper Hutt Valley	14	Tōtara		Tōtara		Kara Puketapu	sp_51	44.24	45.17															Tōtara Park																																							suburb	fe_270		Tōtara																																		
pn_zo_3-15			zo_3	Upper Hutt Valley	15	Whakatiki		Whakatiki		Kara Puketapu	sp_51	46.46	47.40																																																						locality	fe_154		Whakatiki																																		
pn_zo_3-16			zo_3	Upper Hutt Valley	16	Wī Tako		Wī Tako		Kara Puketapu	sp_51	48.91	49.98																							former name of Rimutaka Prison																															prison	fe_210		Rimutaka Prison																																		
pn_zo_4-0			zo_4	Porirua Harbour	0	Intro		Zone 4: Porirua Harbour		Hugh Young	sp_37	1.34	3.22															Zone 4: Porirua Harbour																																																																												
pn_zo_4-1			zo_4	Porirua Harbour	1	Angapaua		Angapaua		Tarawara (Wara) Katene	sp_107	5.04	6.27																																																						point	fe_203		Angapaua Point																																		
pn_zo_4-2			zo_4	Porirua Harbour	2	Aotea		Aotea		Tarawara (Wara) Katene	sp_107	7.66	8.66																																																						college	fe_55		Aotea College					lagoon	fe_145		Aotea Lagoon																										
pn_zo_4-3			zo_4	Porirua Harbour	3	Arohata		Arohata		Tarawara (Wara) Katene	sp_107	10.40	11.47	Arowhata	Arowhata		Tarawara (Wara) Katene	sp_107	12.30	13.52												Arowhata																																			borstal	fe_25		Arohata Borstal																																		
pn_zo_4-4			zo_4	Porirua Harbour	4	Hongoeka		Hongoeka		Tarawara (Wara) Katene	sp_107	14.61	15.79																																																						bay	fe_15		Hongoeka Bay					marae	fe_156		Hongoeka Marae	3																									
pn_zo_4-5			zo_4	Porirua Harbour	5	Karehana		Karehana		Tarawara (Wara) Katene	sp_107	17.61	18.65																																																						bay	fe_15		Karehana Bay																																		
pn_zo_4-6			zo_4	Porirua Harbour	6	Kenepurū		Kenepurū		Tarawara (Wara) Katene	sp_107	22.43	23.69																																																						suburb	fe_270		Kenepurū																																		
pn_zo_4-7			zo_4	Porirua Harbour	7	Kiakia		Kiakia		Tarawara (Wara) Katene	sp_107	25.11	26.12																																																						reef	fe_222		Kiakia Reef																																		
pn_zo_4-8			zo_4	Porirua Harbour	8	Komanga-rau-tāwhiri		Komanga-rau-tāwhiri		Tarawara (Wara) Katene	sp_107	27.54	29.34	Kaumanga	Kaumanga		Tarawara (Wara) Katene	sp_107	20.09	21.06									Kaumanga			Kaumanga																																			point	fe_203		Komanga-rau-tāwhiri Point																																		
pn_zo_4-9			zo_4	Porirua Harbour	9	Kura		Kura		Tarawara (Wara) Katene	sp_107	31.04	31.74																																																						park	fe_195		Kura Park																																		
pn_zo_4-10			zo_4	Porirua Harbour	10	Mākara		Mākara		Tarawara (Wara) Katene	sp_107	33.01	34.14																																																						beach	fe_16		Mākara Beach																																		
pn_zo_4-11			zo_4	Porirua Harbour	11	Mana		Mana		Tarawara (Wara) Katene	sp_107	35.36	36.10	Te Mana-o-Kupe-ki Aotearoa	Te Mana-o-Kupe-ki Aotearoa		Tarawara (Wara) Katene	sp_107	36.93	39.69										Te Mana-o-Kupe-ki Aotearoa																																					island	fe_134		Mana Island					suburb	fe_270		Mana																										
pn_zo_4-12			zo_4	Porirua Harbour	12	Maraeroa		Maraeroa		Tarawara (Wara) Katene	sp_107	41.19	42.53																																																						marae	fe_156		Maraeroa Marae	1																																	
pn_zo_4-13			zo_4	Porirua Harbour	13	Matuaiwi		Matuaiwi		Tarawara (Wara) Katene	sp_107	43.62	45.06																																																						whare āwhina	fe_303		Matuaiwi Whare Āwhina	2																																	
pn_zo_4-14			zo_4	Porirua Harbour	14	Nātone		Nātone		Tarawara (Wara) Katene	sp_107	46.19	47.47																																																						park	fe_195		Nātone Park																																		
pn_zo_4-15			zo_4	Porirua Harbour	15	Ngātitoa		Ngātitoa		Tarawara (Wara) Katene	sp_107	49.01	50.36																																																						domain	fe_80		Ngātitoa Domain																																		
pn_zo_4-16			zo_4	Porirua Harbour	16	Ōhāriu		Ōhāriu		Tarawara (Wara) Katene	sp_107	51.84	53.21	Ōwhāriu															Ōwhāriu			Ōwhāriu																																			bay	fe_15		Ōhāriu Bay																																		
pn_zo_4-17			zo_4	Porirua Harbour	17	Pāuatahānui	1	Pāuatahānui		Tarawara (Wara) Katene	sp_107	54.67	57.01	Pāhautānui															Pāhautānui			Pāhautānui																																			suburb	fe_270		Pāuatahānui					inlet	fe_132		Pāuatahānui Inlet																										
pn_zo_4-18			zo_4	Porirua Harbour	18	Papakōwhai		Papakōwhai		Tarawara (Wara) Katene	sp_107	58.48	59.79																																																						suburb	fe_270		Papakōwhai																																		
